Sr.No,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,Austria,2059.2681921325297,2381.6299328745026,2924.947591542282,3891.7024022503556,4631.855169948548,5286.897177658937,5679.783584274304,6812.731673584575,8207.461885097648,9796.750676787167,10871.766858723737,9387.828290427828,9413.556300278233,9540.601498547716,8994.376267521866,9175.79501422727,13087.40546799746,16398.146445202514,17581.44322026578,17469.16715485508,21679.0846309519,22408.173383308615,24879.014637212684,24081.365125009437,25650.48194674256,30331.630403007937,29814.47108575082,26708.143955367163,27364.394031122672,27176.727625304982,24567.929177726503,24545.43449202372,26412.636332420952,32226.888650757523,36826.497003790355,38405.88962163705,40637.51535098147,46857.68803135204,51712.9494845637,47962.52080000274,46861.26507485564,51377.67066555674,48569.734871770066,50718.40732991113,51719.25090872314,44179.46844912713,45277.76946741151,47429.53584121859,51466.60313672992,50067.47296099458,48839.26898436463,53720.12527424054,52608.76063671398
12,Bahamas,4259.305051676002,4286.281941011957,4493.308783651635,5024.039305451139,5962.291181942105,5454.223468781629,5885.411988650725,6117.865557525239,6984.355482855918,8315.441574036915,9785.606578665438,9950.924552406486,11001.038059558818,12015.974904866778,12589.347102265876,13443.948124504443,14250.771706192883,15394.728375935967,15709.087056348195,17371.776366985192,17613.267697161584,16972.511381666172,16605.79133463133,16158.593831984565,16692.52746796736,17240.993002931024,19225.580570158036,20415.835136102345,21665.324447206385,23991.794474696508,24849.698782206306,25234.053139012092,26590.259938563242,26204.91004165559,26393.44310076977,28280.870835298043,28829.991153052197,29687.75337885066,29013.630287076725,27120.799224033235,27046.764825649927,26644.794284958327,28059.51302802432,27404.16224815247,28554.857734284855,29821.354970880857,30124.37615411035,31303.530973384793,32400.95669136564,33564.69573385209,23998.168238324506,28260.367047800228,31458.354291874806
13,Bahrain,1896.176457809332,1969.7022743697028,2367.250664112499,3196.301037152326,4150.198216240261,4154.4845542363055,5681.200623209877,6798.708509032599,7399.496637401511,8421.893654710366,10381.582431930103,11259.02934973919,11425.403311813394,11307.678219171295,11416.372938945993,10302.210684218584,8308.446576365888,8145.480732770581,8634.21030430334,8950.316344085446,9487.745468024823,9707.530751151275,9797.122093592156,10364.16641536861,10804.995802243582,11072.919126003455,11156.027225894573,11208.92465386455,10406.006742690828,10955.188133837517,12738.785370401749,12291.847614330123,12819.993888186105,14230.307432204118,15777.972403488116,17705.238935395744,19057.796812072513,20883.55998038565,23155.79456700758,19448.185165297775,21186.81432922786,23741.557462670153,25102.639500954392,25790.856790606176,25464.800666786774,22795.370757889865,22867.275453444992,24349.836846727878,25415.75006530293,25869.206182092556,23433.491494360183,26860.07455383767,30146.5095336219
14,Bangladesh,91.73236648332613,81.57551807385464,89.57335950278436,95.15668931493788,110.85884060395753,113.44974433433987,123.68830017315187,127.3332752302255,159.371923926566,180.18018038969004,199.3242062237742,196.94551083936645,174.38871130489377,173.10613588943593,197.5105986897599,199.7626829851796,205.75403151412263,228.6231333706809,241.65025244252908,256.9702330549038,262.596250385645,275.22832663807213,275.81527096267104,279.36551343471854,291.2664896005463,321.4615561942973,331.9738275202132,337.3452463320746,343.19548653051373,353.1077874225175,351.94995840310486,345.05017227090815,351.83253771119456,378.67562874863626,403.1275547665247,408.9634395400549,490.5853843916046,563.9154099775665,653.3937887805032,734.8789758503478,829.4635600690186,899.9121284966334,944.5031241689414,1130.8747705951578,1282.106878227508,1449.562923305814,1651.7199650270702,1785.836612519832,1931.4787576168599,2110.916695694847,2230.583105737233,2449.0249775325838,2527.5212696102685
15,Barbados,903.0125784123569,1011.028544751293,1151.3298672345486,1397.9424970063847,1663.3306427595116,1945.368774099142,2100.6216102496787,2376.9618986393657,2645.941976184121,3191.3584376263207,4075.960737454402,4466.495906692215,4649.279895322365,4919.339771154559,5345.849206503446,5580.768129315927,6116.635162751093,6728.069318471781,7153.423327227336,7910.357935376161,7937.251572229862,7857.4591579864455,7570.858770925245,7961.554635146267,8347.581790288561,8757.252515220947,9320.193798921584,9835.108960429141,11071.995017865136,11578.907154483855,11910.154925053937,11859.386150646062,12012.075157155992,12362.5114392951,13216.914811642242,14604.261154013144,15595.636498104835,17219.058074593653,17551.855044289983,16309.886007940364,16494.243040868405,16902.492322658865,16704.92438368266,16923.59091976234,16964.752264021074,17023.69436463214,17381.365086542566,17881.563253303342,18271.25225250994,19063.10229138411,16882.50152301625,17507.4679943101,20238.784242015376
16,Belgium,2773.4812364076174,3085.1097502989373,3835.9291458247176,4907.873258088241,5747.63794315544,6726.770163830144,7276.188739394809,8464.645137141893,10331.479747565085,11851.977945413817,12903.921789726646,10639.294370365515,9342.54557256174,8836.215254511386,8441.50300615848,8730.883662201504,12138.182185006775,15090.206658507124,16364.765338614852,16525.944163072487,20616.33616746077,21078.03039844988,23440.616279359972,22373.657432791904,24321.190254731035,28531.31984998037,27579.704178333843,24885.074759173585,25373.871135895486,25248.97078559786,23012.125719240397,22944.352512130314,24833.93649013548,30508.815329961486,35247.44366879215,36660.850579048856,38542.771057728394,44144.31108993676,48033.58362425791,44560.78806576203,44213.4558564252,47705.164239759084,44980.05693322331,46981.053794201354,47838.53691528021,41086.1691175835,42038.21534258859,44162.25625553802,47455.52331957778,46554.24513801604,45517.82664697592,51737.76026870969,49986.832591328755
17,Belize,230.9067578120816,287.4725649069595,367.84222145036574,589.6328820292608,775.9411081590462,884.0286038798433,682.9068814031624,860.2943832930689,962.8216298503595,1102.48412810334,1485.5391296259293,1435.8818195262295,1302.3654541398473,1341.1396384561656,1462.1733898485484,1417.419072297413,1509.4396259368027,1883.470265528132,2206.594704748394,2618.3750272811217,2988.604820115122,3190.8683645997576,3644.9228214546583,3862.552029849055,3878.968981836142,4011.1400302619427,4042.1524828440715,4011.022236858468,4119.706171884379,4283.477068142463,4720.16821751537,4708.294937525191,4844.228574107279,4937.089905984136,5123.59621391404,5236.365424877396,5486.831433628074,5717.929620120267,5665.966231667381,5352.09598753545,5399.062096018081,5519.339007944455,5635.52152590496,5865.470901220814,6031.548402798473,6098.600078917168,6099.957101981144,6049.391947541054,6001.024261515026,6134.2152327837675,5185.158069588601,6060.968223712663,6984.216959227383
18,Benin,106.51944931122398,110.6688736059777,133.35418333543996,159.76106284651573,167.78466363699013,199.47234960001705,207.426900013964,221.5982407535531,262.26822379291,311.2570819681656,387.18723396830086,356.27303390988124,337.81777080225146,283.6750938520996,264.5162460135143,255.58668964615634,317.00480270432473,359.958264328021,362.1380791675472,325.86507377865763,388.2302844981366,381.6076186481377,418.39081335814956,405.3211086618217,274.33073626414165,387.79703246971945,444.7153298402071,448.68836492629663,509.35988295506695,541.50366584338,501.74861222464205,507.9030100949666,561.7272669882349,696.8431266789541,782.7138318729797,805.5841622056652,836.3883517495743,943.3954468667495,1094.5165309570414,1057.4622587938984,1008.5054607808021,1097.9755029940213,1112.6332519979758,1213.9504760640043,1249.8400947257032,1040.8637839567348,1049.8203034991875,1095.2741326505814,1194.4376027139062,1170.9658792195057,1240.7331042466308,1360.911474217921,1302.850067253612
19,Bermuda,5104.598512082124,5726.867894342943,6361.395009764329,7257.86084081247,8390.519080689553,9233.392265504986,10316.059272489816,11184.70984013257,12091.626569272428,14058.774763385323,16847.42662003981,18308.733318251227,20263.979132487468,22393.677170207062,23389.624717610244,25682.98003992016,28320.43727118493,30794.077846967197,32685.44037715897,34430.45984136156,35408.941621715676,36530.99903238069,36867.985614347934,38989.79128006946,40302.24983505608,42996.15794164635,45354.27807486631,48694.371394889335,51655.19858752867,54523.540119053476,56707.87425657069,59590.418211550605,63361.62474452437,67018.71358135366,71480.75495696525,77322.3158722343,85098.88873036255,96350.13268731395,103991.44701065478,102983.16827932379,104589.34228568726,99381.10902995293,100369.88672120831,101813.37196485371,101258.6220503512,105404.47231724313,109426.65059935307,112539.07546424337,113690.5192619276,116333.29154391024,107559.61955927598,113524.81109293448,117568.24130624454
20,Bhutan,206.68077762170236,214.76937754204835,219.656317818763,239.09564356741654,272.40472313609166,246.31613765866032,242.80269363982833,259.90982905289053,241.6794669230391,261.93861094723815,309.67158171562244,337.61567929523164,344.16817688709284,374.5779776842816,356.9355704343526,355.4040844766353,408.2219089968611,477.1904087561081,500.1823643401609,467.1262789979128,489.9345712103449,410.6727607301693,429.903512175284,424.04297236428147,497.93374373900025,548.0861478314272,568.6400956688626,651.5731451902332,646.8240063270063,703.7061811919215,747.8496506416845,789.7381399161213,867.5362929685283,980.0753094419874,1081.1485182375118,1201.4336470713172,1299.6312477964348,1714.0310733472224,1780.1122157635664,1768.7465181883645,2194.1125129450106,2491.2707704654263,2470.067760768629,2409.4301446398626,2589.893726730393,2746.377296684402,2988.978262023442,3427.17368248543,3389.7772953375897,3564.6178081595854,3181.3401294307814,3560.197893759627,3704.3445810537146
